Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year,Offset
144,Queen,Bohemian Rhapsody,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,,Queen – Bohemian Rhapsody (Official Video Remastered),1975,
145,Suzi Quatro,If You Can't Give Me Love,https://www.youtube.com/watch?v=tY1o9zWht50,,Suzi Quatro - If You Can't Give Me Love,1978,
146,Meredith Brooks,Bitch,https://www.youtube.com/watch?v=_ivt_N2Zcts,,Meredith Brooks - Bitch (Official Music Video),1997,
147,Men At Work,Down Under,https://www.youtube.com/watch?v=XfR9iY5y94s,,Men At Work - Down Under (Official HD Video),1981,
148,Elvis Presley,Don't Be Cruel,https://www.youtube.com/watch?v=B2YwGBVSfFQ,,Elvis Presley - Don't Be Cruel (Official Lyric Video),1956,
149,Blue Swede,Hooked On A Feeling,https://www.youtube.com/watch?v=bCHvzQnL8kQ,,Blue Swede - Hooked On A Feeling (Official Audio),1974,
150,Simon & Garfunkel,The Boxer,https://www.youtube.com/watch?v=l3LFML_pxlY,,Simon & Garfunkel - The Boxer (Audio),1969,
151,Twisted Sister,We're Not Gonna Take It,https://www.youtube.com/watch?v=4xmckWVPRaI,,Twisted Sister - We're Not Gonna Take It (Official Music Video),1984,
152,Chris de Burgh,Don't Pay The Ferryman,https://www.youtube.com/watch?v=lqZEp4Fb6qw,,Chris De Burgh - Don't Pay The Ferryman,1982,
153,Andru Donalds,All Out Of Love,https://www.youtube.com/watch?v=-W43K0qtwZU,,Andru Donalds - All Out Of Love (Official Music Video),1999,
154,Westlife,World of Our Own,https://www.youtube.com/watch?v=Jal-vzO8bVE,,Westlife - World Of Our Own (Official Video),2002,
