Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
61,Love Train,The O'Jays,1972,https://www.youtube.com/watch?v=2vTKmVvyNRc,2a2d0bbadfa89098b2acbc5519f8c50b634926459789b978893c180fc5fa4b0c,The O'Jays - Love Train,USSM17200048
62,I'm a Believer,The Monkees,1966,https://www.youtube.com/watch?v=4PQAqprjOuA,21d3dac8e7a7ac97bf491f7ff5ba02203dd8cdcfa9155e06c6053add1ec3896f,I'm a Believer,USRH10651278
63,Le Freak,Chic,1978,https://www.youtube.com/watch?v=7KP7bdFv_qg,b00dc35d890fc132bf52a7b6e301533e8f1cc690cbd9d8b1d936b6666dec0961,Le Freak (Edit),USRH11803129
64,Anarchy In The UK,Sex Pistols,1977,https://www.youtube.com/watch?v=q31WY0Aobro,c7316583db7fda90c19fe691647ffdc5028c8138f796a7a26f0adc7288ec67ca,Sex Pistols - Anarchy In The UK,GBUM71200591
65,Just Give Me a Reason (feat. Nate Ruess),P!nk,2012,https://www.youtube.com/watch?v=OpQFFLBMEPI,40299bbd43cbba7d1f76a9ba902f804af314fde714fbe5c08aad9481e72403cf,P!nk - Just Give Me A Reason ft. Nate Ruess,USRC11200786
66,One Day Like This,Elbow,2008,https://www.youtube.com/watch?v=mCJ7keVBj6Y,66ca5044349af4141a93cc4786acad4a7edc7d068c3ad0be0afe178387867d6b,One Day Like This - Elbow #/,GBUM70710049
67,Praise You,Fatboy Slim,1998,https://www.youtube.com/watch?v=ruAi4VBoBSM,d53e45e3977a93b5ddac2710bc8571b7bbf3ecb85ae370213987548d1f287bf5,Fatboy Slim - Praise You [Official Video],GBBMQ9900055
68,Thunderstruck,AC/DC,1990,https://www.youtube.com/watch?v=v2AC41dglnM,df5e06a7d1475b3492872966a7b6a02336c908d81a0310703f085b7e5e5d29a7,AC/DC - Thunderstruck (Official Video),AUAP09000014
69,That Don't Impress Me Much,Shania Twain,1998,https://www.youtube.com/watch?v=mqFLXayD6e8,463f083b4e1d15ec603480b2023abbaa185dfbb7d07b2cbcbbdb679c23174777,Shania Twain - That Don't Impress Me Much (Official Music Video),USMR19900016
70,Y.M.C.A.,Village People,1978,https://www.youtube.com/watch?v=xb-cy-9o2XU,c2f31074ce31e0604f2ecf7483c3eef9920927eefed6d77b335d5efc0db673a4,Village People - Y.M.C.A. (HQ),USPR37800001
71,I Gotta Feeling,Black Eyed Peas,2009,https://www.youtube.com/watch?v=uSD4vsh1zDA,c90ed7587cc4897fe6054256125f2930b4f0d42d46554b7059121ec71a1fb52d,The Black Eyed Peas - I Gotta Feeling (Official Music Video),USUM70965169
72,Whatcha Say,Jason Derulo,2009,https://www.youtube.com/watch?v=pBI3lc18k8Q,651d02475c126c8677eae82458be98e79bfd7bf219f9dd7a63ddc4f712545ac2,Jason Derulo - Whatcha Say [Official Music Video],USWB10901504
73,Heart Of Glass,Blondie,1978,https://www.youtube.com/watch?v=WGU_4-5RaxU,4641f4f8d037f3964cf1f43d0a25ca94e3cd4d24938be4187bf73689a50a2783,Blondie - Heart Of Glass,USCH37900017
74,La Bamba,Ritchie Valens,1958,https://www.youtube.com/watch?v=BycLmWI97Nc,e34e25b5b7e47c2eae8cd6cc199c3fa939f24b5f3963a728d473ac86ce6bc081,La Bamba,USRH10402003
